data_pid,water_lvl,lib_cap
1065215000,323.76,-4.02
1065215000,323.77,-4.02
1065215000,323.78,-4.02
1065215000,323.79,-4.02
1065215000,323.8,-4.01
1065215000,323.81,-4.01
1065215000,323.82,-4.01
1065215000,323.83,-4.01
1065215000,323.84,-4.0
1065215000,323.85,-4.0
1065215000,323.86,-4.0
1065215000,323.87,-4.0
1065215000,323.88,-3.99
1065215000,323.89,-3.99
1065215000,323.9,-3.99
1065215000,323.91,-3.99
1065215000,323.92,-3.98
1065215000,323.93,-3.98
1065215000,323.94,-3.98
1065215000,323.95,-3.98
1065215000,323.96,-3.97
1065215000,323.97,-3.97
1065215000,323.98,-3.97
1065215000,323.99,-3.96
1065215000,324.0,-3.96
1065215000,324.01,-3.96
1065215000,324.02,-3.96
1065215000,324.03,-3.95
1065215000,324.04,-3.95
1065215000,324.05,-3.95
1065215000,324.06,-3.94
1065215000,324.07,-3.94
1065215000,324.08,-3.94
1065215000,324.09,-3.93
1065215000,324.1,-3.93
1065215000,324.11,-3.93
1065215000,324.12,-3.92
1065215000,324.13,-3.92
1065215000,324.14,-3.92
1065215000,324.15,-3.91
1065215000,324.16,-3.91
1065215000,324.17,-3.91
1065215000,324.18,-3.91
1065215000,324.19,-3.9
1065215000,324.2,-3.9
1065215000,324.21,-3.9
1065215000,324.22,-3.89
1065215000,324.23,-3.89
1065215000,324.24,-3.88
1065215000,324.25,-3.88
1065215000,324.26,-3.88
1065215000,324.27,-3.87
1065215000,324.28,-3.87
1065215000,324.29,-3.87
1065215000,324.3,-3.86
1065215000,324.31,-3.86
1065215000,324.32,-3.86
1065215000,324.33,-3.85
1065215000,324.34,-3.85
1065215000,324.35,-3.85
1065215000,324.36,-3.84
1065215000,324.37,-3.84
1065215000,324.38,-3.83
1065215000,324.39,-3.83
1065215000,324.4,-3.83
1065215000,324.41,-3.82
1065215000,324.42,-3.82
1065215000,324.43,-3.82
1065215000,324.44,-3.81
1065215000,324.45,-3.81
1065215000,324.46,-3.8
1065215000,324.47,-3.8
1065215000,324.48,-3.8
1065215000,324.49,-3.79
1065215000,324.5,-3.79
1065215000,324.51,-3.78
1065215000,324.52,-3.78
1065215000,324.53,-3.78
1065215000,324.54,-3.77
1065215000,324.55,-3.77
1065215000,324.56,-3.76
1065215000,324.57,-3.76
1065215000,324.58,-3.76
1065215000,324.59,-3.75
1065215000,324.6,-3.75
1065215000,324.61,-3.74
1065215000,324.62,-3.74
1065215000,324.63,-3.73
1065215000,324.64,-3.73
1065215000,324.65,-3.73
1065215000,324.66,-3.72
1065215000,324.67,-3.72
1065215000,324.68,-3.71
1065215000,324.69,-3.71
1065215000,324.7,-3.7
1065215000,324.71,-3.7
1065215000,324.72,-3.7
1065215000,324.73,-3.69
1065215000,324.74,-3.69
1065215000,324.75,-3.68
1065215000,324.76,-3.68
1065215000,324.77,-3.67
1065215000,324.78,-3.67
1065215000,324.79,-3.66
1065215000,324.8,-3.66
1065215000,324.81,-3.65
1065215000,324.82,-3.65
1065215000,324.83,-3.65
1065215000,324.84,-3.64
1065215000,324.85,-3.64
1065215000,324.86,-3.63
1065215000,324.87,-3.63
1065215000,324.88,-3.62
1065215000,324.89,-3.62
1065215000,324.9,-3.61
1065215000,324.91,-3.61
1065215000,324.92,-3.6
1065215000,324.93,-3.6
1065215000,324.94,-3.59
1065215000,324.95,-3.59
1065215000,324.96,-3.58
1065215000,324.97,-3.58
1065215000,324.98,-3.57
1065215000,324.99,-3.57
1065215000,325.0,-3.56
1065215000,325.01,-3.56
1065215000,325.02,-3.55
1065215000,325.03,-3.55
1065215000,325.04,-3.54
1065215000,325.05,-3.54
1065215000,325.06,-3.53
1065215000,325.07,-3.53
1065215000,325.08,-3.52
1065215000,325.09,-3.52
1065215000,325.1,-3.51
1065215000,325.11,-3.51
1065215000,325.12,-3.5
1065215000,325.13,-3.5
1065215000,325.14,-3.49
1065215000,325.15,-3.49
1065215000,325.16,-3.48
1065215000,325.17,-3.47
1065215000,325.18,-3.47
1065215000,325.19,-3.46
1065215000,325.2,-3.46
1065215000,325.21,-3.45
1065215000,325.22,-3.45
1065215000,325.23,-3.44
1065215000,325.24,-3.44
1065215000,325.25,-3.43
1065215000,325.26,-3.43
1065215000,325.27,-3.42
1065215000,325.28,-3.41
1065215000,325.29,-3.41
1065215000,325.3,-3.4
1065215000,325.31,-3.4
1065215000,325.32,-3.39
1065215000,325.33,-3.39
1065215000,325.34,-3.38
1065215000,325.35,-3.38
1065215000,325.36,-3.37
1065215000,325.37,-3.36
1065215000,325.38,-3.36
1065215000,325.39,-3.35
1065215000,325.4,-3.35
1065215000,325.41,-3.34
1065215000,325.42,-3.34
1065215000,325.43,-3.33
1065215000,325.44,-3.32
1065215000,325.45,-3.32
1065215000,325.46,-3.31
1065215000,325.47,-3.31
1065215000,325.48,-3.3
1065215000,325.49,-3.29
1065215000,325.5,-3.29
1065215000,325.51,-3.28
1065215000,325.52,-3.28
1065215000,325.53,-3.27
1065215000,325.54,-3.26
1065215000,325.55,-3.26
1065215000,325.56,-3.25
1065215000,325.57,-3.25
1065215000,325.58,-3.24
1065215000,325.59,-3.23
1065215000,325.6,-3.23
1065215000,325.61,-3.22
1065215000,325.62,-3.21
1065215000,325.63,-3.21
1065215000,325.64,-3.2
1065215000,325.65,-3.2
1065215000,325.66,-3.19
1065215000,325.67,-3.18
1065215000,325.68,-3.18
1065215000,325.69,-3.17
1065215000,325.7,-3.16
1065215000,325.71,-3.16
1065215000,325.72,-3.15
1065215000,325.73,-3.15
1065215000,325.74,-3.14
1065215000,325.75,-3.13
1065215000,325.76,-3.13
1065215000,325.77,-3.12
1065215000,325.78,-3.11
1065215000,325.79,-3.11
1065215000,325.8,-3.1
1065215000,325.81,-3.09
1065215000,325.82,-3.09
1065215000,325.83,-3.08
1065215000,325.84,-3.07
1065215000,325.85,-3.07
1065215000,325.86,-3.06
1065215000,325.87,-3.05
1065215000,325.88,-3.05
1065215000,325.89,-3.04
1065215000,325.9,-3.03
1065215000,325.91,-3.03
1065215000,325.92,-3.02
1065215000,325.93,-3.01
1065215000,325.94,-3.01
1065215000,325.95,-3.0
1065215000,325.96,-2.99
1065215000,325.97,-2.99
1065215000,325.98,-2.98
1065215000,325.99,-2.97
1065215000,326.0,-2.97
1065215000,326.01,-2.96
1065215000,326.02,-2.95
1065215000,326.03,-2.94
1065215000,326.04,-2.94
1065215000,326.05,-2.93
1065215000,326.06,-2.92
1065215000,326.07,-2.92
1065215000,326.08,-2.91
1065215000,326.09,-2.9
1065215000,326.1,-2.9
1065215000,326.11,-2.89
1065215000,326.12,-2.88
1065215000,326.13,-2.87
1065215000,326.14,-2.87
1065215000,326.15,-2.86
1065215000,326.16,-2.85
1065215000,326.17,-2.85
1065215000,326.18,-2.84
1065215000,326.19,-2.83
1065215000,326.2,-2.82
1065215000,326.21,-2.82
1065215000,326.22,-2.81
1065215000,326.23,-2.8
1065215000,326.24,-2.79
1065215000,326.25,-2.79
1065215000,326.26,-2.78
1065215000,326.27,-2.77
1065215000,326.28,-2.77
1065215000,326.29,-2.76
1065215000,326.3,-2.75
1065215000,326.31,-2.74
1065215000,326.32,-2.74
1065215000,326.33,-2.73
1065215000,326.34,-2.72
1065215000,326.35,-2.71
1065215000,326.36,-2.71
1065215000,326.37,-2.7
1065215000,326.38,-2.69
1065215000,326.39,-2.68
1065215000,326.4,-2.68
1065215000,326.41,-2.67
1065215000,326.42,-2.66
1065215000,326.43,-2.65
1065215000,326.44,-2.64
1065215000,326.45,-2.64
1065215000,326.46,-2.63
1065215000,326.47,-2.62
1065215000,326.48,-2.61
1065215000,326.49,-2.61
1065215000,326.5,-2.6
1065215000,326.51,-2.59
1065215000,326.52,-2.58
1065215000,326.53,-2.57
1065215000,326.54,-2.57
1065215000,326.55,-2.56
1065215000,326.56,-2.55
1065215000,326.57,-2.54
1065215000,326.58,-2.54
1065215000,326.59,-2.53
1065215000,326.6,-2.52
1065215000,326.61,-2.51
1065215000,326.62,-2.5
1065215000,326.63,-2.5
1065215000,326.64,-2.49
1065215000,326.65,-2.48
1065215000,326.66,-2.47
1065215000,326.67,-2.46
1065215000,326.68,-2.45
1065215000,326.69,-2.45
1065215000,326.7,-2.44
1065215000,326.71,-2.43
1065215000,326.72,-2.42
1065215000,326.73,-2.41
1065215000,326.74,-2.41
1065215000,326.75,-2.4
1065215000,326.76,-2.39
1065215000,326.77,-2.38
1065215000,326.78,-2.37
1065215000,326.79,-2.36
1065215000,326.8,-2.36
1065215000,326.81,-2.35
1065215000,326.82,-2.34
1065215000,326.83,-2.33
1065215000,326.84,-2.32
1065215000,326.85,-2.31
1065215000,326.86,-2.31
1065215000,326.87,-2.3
1065215000,326.88,-2.29
1065215000,326.89,-2.28
1065215000,326.9,-2.27
1065215000,326.91,-2.26
1065215000,326.92,-2.26
1065215000,326.93,-2.25
1065215000,326.94,-2.24
1065215000,326.95,-2.23
1065215000,326.96,-2.22
1065215000,326.97,-2.21
1065215000,326.98,-2.2
1065215000,326.99,-2.2
1065215000,327.0,-2.19
1065215000,327.01,-2.18
1065215000,327.02,-2.17
1065215000,327.03,-2.16
1065215000,327.04,-2.15
1065215000,327.05,-2.14
1065215000,327.06,-2.13
1065215000,327.07,-2.13
1065215000,327.08,-2.12
1065215000,327.09,-2.11
1065215000,327.1,-2.1
1065215000,327.11,-2.09
1065215000,327.12,-2.08
1065215000,327.13,-2.07
1065215000,327.14,-2.06
1065215000,327.15,-2.05
1065215000,327.16,-2.05
1065215000,327.17,-2.04
1065215000,327.18,-2.03
1065215000,327.19,-2.02
1065215000,327.2,-2.01
1065215000,327.21,-2.0
1065215000,327.22,-1.99
1065215000,327.23,-1.98
1065215000,327.24,-1.97
1065215000,327.25,-1.96
1065215000,327.26,-1.96
1065215000,327.27,-1.95
1065215000,327.28,-1.94
1065215000,327.29,-1.93
1065215000,327.3,-1.92
1065215000,327.31,-1.91
1065215000,327.32,-1.9
1065215000,327.33,-1.89
1065215000,327.34,-1.88
1065215000,327.35,-1.87
1065215000,327.36,-1.86
1065215000,327.37,-1.85
1065215000,327.38,-1.84
1065215000,327.39,-1.84
1065215000,327.4,-1.83
1065215000,327.41,-1.82
1065215000,327.42,-1.81
1065215000,327.43,-1.8
1065215000,327.44,-1.79
1065215000,327.45,-1.78
1065215000,327.46,-1.77
1065215000,327.47,-1.76
1065215000,327.48,-1.75
1065215000,327.49,-1.74
1065215000,327.5,-1.73
1065215000,327.51,-1.72
1065215000,327.52,-1.71
1065215000,327.53,-1.7
1065215000,327.54,-1.69
1065215000,327.55,-1.68
1065215000,327.56,-1.67
1065215000,327.57,-1.66
1065215000,327.58,-1.65
1065215000,327.59,-1.64
1065215000,327.6,-1.64
1065215000,327.61,-1.63
1065215000,327.62,-1.62
1065215000,327.63,-1.61
1065215000,327.64,-1.6
1065215000,327.65,-1.59
1065215000,327.66,-1.58
1065215000,327.67,-1.57
1065215000,327.68,-1.56
1065215000,327.69,-1.55
1065215000,327.7,-1.54
1065215000,327.71,-1.53
1065215000,327.72,-1.52
1065215000,327.73,-1.51
1065215000,327.74,-1.5
1065215000,327.75,-1.49
1065215000,327.76,-1.48
1065215000,327.77,-1.47
1065215000,327.78,-1.46
1065215000,327.79,-1.45
1065215000,327.8,-1.44
1065215000,327.81,-1.43
1065215000,327.82,-1.42
1065215000,327.83,-1.41
1065215000,327.84,-1.4
1065215000,327.85,-1.39
1065215000,327.86,-1.38
1065215000,327.87,-1.37
1065215000,327.88,-1.36
1065215000,327.89,-1.35
1065215000,327.9,-1.34
1065215000,327.91,-1.33
1065215000,327.92,-1.32
1065215000,327.93,-1.31
1065215000,327.94,-1.3
1065215000,327.95,-1.28
